lat,lon
52.63437,-8.62611
52.63414,-8.6264
52.63331,-8.62757
52.63296,-8.62811
52.63247,-8.62895
52.63244,-8.62899
52.632,-8.62981
52.63168,-8.63046
52.63117,-8.63156
52.63064,-8.63264
52.63016,-8.63355
52.62944,-8.63474
52.62874,-8.63575
52.62824,-8.63638
52.62778,-8.63691
52.62715,-8.63757
52.62702,-8.63769
52.627,-8.6377
52.62696,-8.63775
52.62664,-8.63804
52.62567,-8.6388
52.6253,-8.63906
52.62482,-8.63937
52.62415,-8.63976
52.62357,-8.64012
52.62349,-8.64019
52.62267,-8.64081
52.6224,-8.64104
52.62188,-8.64152
52.62109,-8.64234
52.6206,-8.64292
52.61996,-8.64377
52.61941,-8.64457
52.61919,-8.64491
52.61791,-8.64701
52.61698,-8.64867
52.61627,-8.65005
52.61568,-8.65126
52.61509,-8.65255
52.61446,-8.65402
52.61295,-8.65776
52.61286,-8.65802
52.61213,-8.65982
52.61211,-8.65989
52.60864,-8.66854
52.60855,-8.66873
52.60747,-8.67148
52.60689,-8.67308
52.60637,-8.67471
52.60632,-8.67484
52.60597,-8.67606
52.60536,-8.67852
52.60516,-8.67945
52.60434,-8.68385
52.60434,-8.68387
52.60269,-8.69275
52.60256,-8.69333
52.60223,-8.69464
52.60193,-8.69565
52.60162,-8.69655
52.60106,-8.69802
52.60081,-8.69861
52.60045,-8.69938
52.59975,-8.70074
52.59901,-8.70204
52.59812,-8.70349
52.59751,-8.70442
52.59685,-8.70536
52.59629,-8.7061
52.59625,-8.70616
52.59019,-8.71402
52.59012,-8.71409
52.58895,-8.71564
52.58852,-8.71625
52.58706,-8.71848
52.58664,-8.71917
52.58585,-8.72058
52.58515,-8.72196
52.58471,-8.72289
52.58388,-8.72477
52.58367,-8.72532
52.58199,-8.73034
52.58132,-8.73277
52.58099,-8.73414
52.58081,-8.73497
52.58038,-8.73728
52.58012,-8.73912
52.58011,-8.73943
52.58,-8.74015
52.57873,-8.75193
52.57872,-8.75194
52.57795,-8.75931
52.57774,-8.76068
52.57751,-8.76162
52.57739,-8.76201
52.57693,-8.76323
52.57666,-8.76376
52.57577,-8.7654
52.57562,-8.76571
52.57531,-8.76655
52.57503,-8.7675
52.57488,-8.76815
52.57468,-8.76918
52.57387,-8.77285
52.57374,-8.77338
52.57371,-8.77354
52.57367,-8.77354
52.57366,-8.77355
52.57365,-8.77355
52.57365,-8.77356
52.57364,-8.77356
52.57364,-8.77357
52.57363,-8.77358
52.57363,-8.77359
52.57362,-8.77359
52.57362,-8.77361
52.57361,-8.77361
52.57361,-8.77364
52.5736,-8.77365
52.5736,-8.77374
52.57361,-8.77374
52.57361,-8.77377
52.57362,-8.77378
52.57362,-8.77379
52.57363,-8.7738
52.57363,-8.77381
52.57366,-8.77384
52.57367,-8.77384
52.57367,-8.77385
52.57371,-8.77385
52.57365,-8.77413
52.57312,-8.7791
52.57289,-8.78069
52.57278,-8.78118
52.57271,-8.78139
52.57261,-8.78163
52.57202,-8.78272
52.57147,-8.78364
52.57134,-8.78383
52.57118,-8.78396
52.57099,-8.78405
52.57007,-8.78439
52.56979,-8.78448
52.56964,-8.7845
52.56949,-8.78449
52.56932,-8.78444
52.56931,-8.78444
52.56915,-8.78437
52.56892,-8.78425
52.56857,-8.78403
52.56854,-8.784
52.5683,-8.78386
52.56808,-8.78375
52.568,-8.78372
52.5679,-8.78371
52.56771,-8.78371
52.56738,-8.78374
52.56713,-8.78378
52.56702,-8.78379
52.5669,-8.78381
52.56675,-8.78387
52.56655,-8.78398
52.56635,-8.78411
52.56604,-8.78435
52.56586,-8.78458
52.56559,-8.78506
52.56552,-8.78521
52.56539,-8.78553
52.56527,-8.78595
52.56493,-8.7873
52.56484,-8.78772
52.56461,-8.78903
52.56453,-8.78936
52.56422,-8.79049
52.56421,-8.79049
52.56421,-8.79048
52.56418,-8.79048
52.56417,-8.79049
52.56416,-8.79049
52.56415,-8.7905
52.56415,-8.79051
52.56414,-8.79051
52.56414,-8.79052
52.56413,-8.79052
52.56413,-8.79054
52.56412,-8.79054
52.56412,-8.79056
52.56411,-8.79057
52.56411,-8.79069
52.56412,-8.7907
52.56412,-8.79072
52.56413,-8.79072
52.56413,-8.79073
52.56414,-8.79074
52.56414,-8.79075
52.56415,-8.79075
52.56415,-8.79076
52.56416,-8.79076
52.56417,-8.79077
52.56363,-8.79254
52.56347,-8.79267
52.56323,-8.79282
52.56231,-8.79344
52.56192,-8.79364
52.56009,-8.79475
52.55978,-8.79496
52.5588,-8.79558
52.55846,-8.79577
52.55827,-8.79592
52.5582,-8.79599
52.55664,-8.79884
52.55641,-8.79937
52.55618,-8.79999
52.55374,-8.80618
52.55368,-8.80631
52.55314,-8.8078
52.55211,-8.81091
52.55205,-8.81107
52.55154,-8.81209
52.55135,-8.81252
52.55113,-8.81319
52.55094,-8.81403
52.55065,-8.81545
52.55055,-8.81576
52.55052,-8.81588
52.55046,-8.81603
52.5504,-8.81622
52.55031,-8.81641
52.55016,-8.81678
52.54957,-8.8181
52.54945,-8.8184
52.54931,-8.8188
52.54919,-8.81919
52.54892,-8.82022
52.54885,-8.82058
52.54883,-8.82064
52.54872,-8.82121
52.54847,-8.82275
