lat,lon
53.45827,-6.20401
53.45872,-6.20408
53.45924,-6.20413
53.45947,-6.20414
53.45978,-6.20417
53.46044,-6.20417
53.4609,-6.20414
53.46163,-6.20405
53.46167,-6.20404
53.46219,-6.20396
53.46485,-6.20348
53.46491,-6.20348
53.46884,-6.20279
53.46931,-6.20274
53.47006,-6.2027
53.47047,-6.20271
53.47079,-6.20274
53.47081,-6.20275
53.47087,-6.20275
53.47107,-6.20277
53.47118,-6.20277
53.4717,-6.20282
53.47241,-6.20294
53.47289,-6.20306
53.47305,-6.20309
53.47376,-6.20331
53.4744,-6.20355
53.4751,-6.20386
53.4757,-6.20416
53.47643,-6.20457
53.47772,-6.20536
53.47775,-6.20537
53.4783,-6.20566
53.47886,-6.20593
53.47992,-6.20635
53.48051,-6.20653
53.481,-6.20666
53.48166,-6.20678
53.4826,-6.2069
53.48354,-6.20693
53.48452,-6.20688
53.48467,-6.20688
53.48511,-6.20682
53.48566,-6.20672
53.48639,-6.20655
53.48747,-6.20619
53.48811,-6.20594
53.48871,-6.20565
53.48953,-6.2052
53.49015,-6.20481
53.49132,-6.20396
53.49242,-6.20311
53.49312,-6.20263
53.49362,-6.20232
53.49452,-6.2018
53.49492,-6.20161
53.49505,-6.20154
53.49544,-6.20136
53.49666,-6.20089
53.4977,-6.20059
53.49826,-6.20047
53.49909,-6.20033
53.49988,-6.20025
53.50042,-6.20022
53.50093,-6.20022
53.50137,-6.20024
53.50203,-6.2003
53.50278,-6.2004
53.50382,-6.20062
53.50472,-6.20088
53.50519,-6.20104
53.50568,-6.20123
53.50676,-6.20172
53.50779,-6.20229
53.50849,-6.20274
53.50906,-6.20314
53.50967,-6.2036
53.51034,-6.20416
53.51103,-6.20478
53.51167,-6.2054
53.51276,-6.2064
53.51338,-6.20687
53.51363,-6.20704
53.51421,-6.2074
53.51455,-6.20759
53.51495,-6.20779
53.51549,-6.20801
53.51596,-6.20818
53.51649,-6.20833
53.51708,-6.20845
53.51772,-6.20853
53.51848,-6.20855
53.51875,-6.20854
53.51909,-6.20851
53.51973,-6.20842
53.51994,-6.20837
53.52006,-6.20835
53.52068,-6.20818
53.52117,-6.20801
53.52209,-6.2076
53.5229,-6.20716
53.52378,-6.20672
53.52433,-6.20649
53.52439,-6.20646
53.52478,-6.20633
53.52529,-6.20618
53.52564,-6.2061
53.52627,-6.20601
53.52671,-6.20597
53.52701,-6.20596
53.52767,-6.20598
53.52801,-6.20602
53.52865,-6.20612
53.52958,-6.20638
53.53018,-6.20661
53.53084,-6.20693
53.53138,-6.20724
53.53176,-6.20749
53.53252,-6.20804
53.53329,-6.20865
53.53495,-6.20987
53.5361,-6.21064
53.53656,-6.21093
53.53805,-6.21181
53.53925,-6.21245
53.54038,-6.21301
53.54044,-6.21302
53.541,-6.21327
53.5422,-6.21376
53.54263,-6.21396
53.54313,-6.21414
53.54332,-6.21419
53.54356,-6.21429
53.54379,-6.21436
53.54401,-6.21444
53.54474,-6.21467
53.54479,-6.21468
53.54586,-6.21498
53.54662,-6.21516
53.54739,-6.21532
53.54913,-6.21561
53.55027,-6.21573
53.5518,-6.21583
53.55276,-6.21584
53.55372,-6.21582
53.55398,-6.2158
53.55429,-6.21579
53.55613,-6.2156
53.55697,-6.21548
53.55778,-6.21533
53.55885,-6.21509
53.55991,-6.21482
53.56004,-6.21478
53.57451,-6.21116
53.57579,-6.21091
53.57581,-6.21091
53.57595,-6.21089
53.57597,-6.21088
53.57685,-6.21076
53.57792,-6.21067
53.57907,-6.21063
53.57992,-6.21064
53.58073,-6.21069
53.58116,-6.21074
53.58124,-6.21074
53.5822,-6.21086
53.58224,-6.21087
53.58262,-6.21093
53.58356,-6.21111
53.58402,-6.21122
53.58516,-6.21153
53.58568,-6.21169
53.58672,-6.21206
53.58769,-6.21246
53.58894,-6.21305
53.58895,-6.21306
53.58992,-6.21357
53.59062,-6.21398
53.59176,-6.21469
53.59334,-6.21582
53.59399,-6.21634
53.5951,-6.21728
53.59602,-6.21813
53.597,-6.2191
53.59846,-6.2207
53.60022,-6.22289
53.60161,-6.2248
53.60166,-6.22486
53.60851,-6.23429
53.60858,-6.2344
53.60863,-6.23446
53.61054,-6.2371
53.61146,-6.23828
53.61146,-6.23829
53.61218,-6.23918
